order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3917,BFD,1.7686,820,0.9,100.0,78.37,94.98,349.35,11064,,,,,,
3917,BNB,3.4563,0,0.0,0.0,,0.0,-1.0,130,0.0,0.0,58.0,467.0,3278.0,3803.0
3917,FFD,0.0696,1392,0.485,100.0,46.17,51.0,661.04,1704,,,,,,
3917,RANDOM,3.6772,1400,0.183,35.9,14.79,35.92,533.49,51155,,,,,,
3918,BFD,3.0567,592,0.859,100.0,76.2,89.56,258.34,20958,,,,,,
3918,BNB,4989.7513,530,0.92,100.0,85.12,94.71,243.7,214152,21697.0,2159.0,39014.0,698179.0,10383468.0,11144517.0
3918,FFD,0.0766,1397,0.338,100.0,32.29,35.39,665.41,2285,,,,,,
3918,RANDOM,1.1712,1400,0.288,76.92,26.85,44.68,649.21,23653,,,,,,
3919,BFD,3.7938,575,0.879,100.0,78.86,93.49,254.4,38394,,,,,,
3919,BNB,1992.1116,560,0.882,100.0,80.98,92.46,254.97,122501,37419.0,6985.0,27774.0,240200.0,3239798.0,3552176.0
3919,FFD,0.108,1375,0.353,100.0,32.98,36.79,639.69,2913,,,,,,
3919,RANDOM,3.6907,762,0.273,51.28,22.34,37.52,296.5,38258,,,,,,
3920,BFD,4.0477,392,0.892,100.0,77.79,94.07,167.32,41718,,,,,,
3920,BNB,14598.1342,0,0.0,0.0,,0.0,-1.0,792039,19227.0,1243.0,223753.0,2842058.0,59119943.0,62206224.0
3920,FFD,0.0582,1399,0.229,100.0,21.8,23.12,664.24,1864,,,,,,
3920,RANDOM,1.6681,938,0.233,79.49,19.84,49.06,388.23,16617,,,,,,
3921,BFD,3.1165,515,0.871,100.0,75.31,94.7,217.31,32592,,,,,,
3921,BNB,34.9051,501,0.836,100.0,77.41,85.75,230.54,2269,433.0,80.0,777.0,5664.0,77899.0,84853.0
3921,FFD,0.1676,1399,0.304,100.0,27.72,31.87,630.89,5482,,,,,,
